id,componenttype,contentrole,content,componentsectionid,questionid,ordering,assetid
326,Paragraph,Exercise,Reconoce el trabajo infantil como impacto grave y aplica una respuesta responsable en la cadena.,4,42,326,
327,Paragraph,Source,Convenios de la OIT sobre edad mínima (C138) y peores formas de trabajo infantil (C182); Principios Rectores de la ONU (2011).,4,42,327,
328,Heading,Heading,4.1 Identificación y evaluación de riesgos e impactos,4,,328,
329,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_43_consulta_partes.png,4,43,329,ddhh_43_consulta_partes
330,Paragraph,,"Evaluar bien los impactos exige escuchar a las personas afectadas, no decidir en gabinete.",4,43,330,
331,Multiple Choice Question,,,4,43,331,
332,Paragraph,,"La evaluación de impactos no debe hacerse solo desde el escritorio: los Principios Rectores recomiendan consultar de manera significativa a las personas potencialmente afectadas y a otras partes interesadas, porque son quienes mejor conocen cómo la operación incide en sus vidas. Escuchar a trabajadores, contratistas y comunidades —con especial atención a grupos vulnerables— permite identificar impactos que de otro modo pasarían inadvertidos y construir confianza. Para Minsur, el diálogo temprano y genuino con su entorno es parte de una debida diligencia seria: previene conflictos, mejora las decisiones y demuestra respeto por quienes pueden verse afectados.",4,43,332,
333,Paragraph,,"B y C aíslan la evaluación de las personas afectadas (gabinete, finanzas). D es reactivo: esperar denuncias contradice la prevención. E limita la consulta a accionistas, omitiendo precisamente a quienes sufren los impactos.",4,43,333,
334,Paragraph,Exercise,Reconoce la consulta a las partes afectadas como parte de una evaluación de impactos seria.,4,43,334,
335,Paragraph,Source,"Principios Rectores de la ONU (2011), Principio 18 (consulta a grupos afectados).",4,43,335,
336,Heading,Heading,5.2 Gestión de denuncias,5,,336,
337,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_44_debido_proceso_senalado.png,5,44,337,ddhh_44_debido_proceso_senalado
338,Paragraph,,La persona señalada también tiene debido proceso y presunción de inocencia.,5,44,338,
339,Multiple Choice Question,,,5,44,339,
340,Paragraph,,"Un sistema justo protege tanto a quien denuncia como a quien es señalado. La persona investigada tiene derecho al debido proceso: ser informada en el momento oportuno de la investigación, poder presentar su versión y sus descargos, y ser tratada bajo presunción de inocencia hasta que el análisis determine si hubo o no una falta. Esto no debilita el canal: lo legitima, porque garantiza decisiones basadas en hechos y no en señalamientos. Para Minsur, equilibrar la protección del denunciante con el debido proceso del señalado es lo que hace que las conclusiones —y las eventuales sanciones— sean justas y sostenibles.",5,44,340,
341,Paragraph,,"B vulnera la presunción de inocencia. C choca con la confidencialidad del denunciante: conocer su identidad no es un derecho del señalado. D y E le otorgan facultades improcedentes (frenar la investigación o sancionar), ajenas al debido proceso.",5,44,341,
342,Paragraph,Exercise,Reconoce el debido proceso y la presunción de inocencia de la persona señalada.,5,44,342,
343,Paragraph,Source,"Debido proceso; DUDH, Art. 11 (presunción de inocencia); Código de Ética de Minsur.",5,44,343,
344,Heading,Heading,6.4 Casos de denuncias y represalias,6,,344,
345,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_45_caso_remediacion.png,6,45,345,ddhh_45_caso_remediacion
346,Paragraph,,"Daño confirmado: reconocer, reparar y garantizar la no repetición, en diálogo con la familia.",6,45,346,
347,Multiple Choice Question,,,6,45,347,
348,Paragraph,,"Cuando se confirma que la operación causó o contribuyó a un daño real, se activa el deber de remediar. La actuación correcta combina tres cosas: reconocer el impacto con honestidad, reparar o contribuir a reparar el daño —por ejemplo restituyendo la fuente de agua o compensando de forma justa— y adoptar garantías de no repetición, todo ello manteniendo un diálogo respetuoso con la familia afectada. Negar el hecho, comprar el silencio o esperar un juicio no son remediación: erosionan la confianza y agravan el conflicto. Para Minsur, remediar bien restaura la relación con la comunidad y cierra el ciclo de la debida diligencia.",6,45,348,
349,Paragraph,,"B niega el daño confirmado. C condiciona el pago al silencio, lo que es una práctica indebida, no una remediación. D traslada la acción a un juicio futuro, evadiendo el deber de reparar. E confunde investigar con remediar: registrar no repara el daño.",6,45,349,
350,Paragraph,Exercise,"Aplica una remediación adecuada (reconocer, reparar, no repetición) ante un daño confirmado.",6,45,350,
351,Paragraph,Source,"Principios Rectores de la ONU (2011), acceso a la reparación (Principios 22 y 25).",6,45,351,
352,Heading,Heading,6.1 Casos de discriminación e igualdad,6,,352,
353,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_46_caso_origen.png,6,46,353,ddhh_46_caso_origen
354,Paragraph,,Asignar tareas por el origen de las personas es discriminación: decidir por competencias.,6,46,354,
355,Multiple Choice Question,,,6,46,355,
356,Paragraph,,"Asignar o negar tareas según el origen étnico de las personas es discriminación basada en un estereotipo, no en hechos. Vulnera el principio de igualdad y no discriminación y daña a las personas afectadas y al clima del equipo. Las decisiones sobre responsabilidades deben fundarse en las competencias, la experiencia y el desempeño real, evaluados por igual para todos. En Minsur, donde conviven personas de diversas comunidades y orígenes, este tipo de prejuicio debe identificarse y corregirse: no es una 'opinión inofensiva' ni un criterio técnico, sino una conducta que la empresa debe abordar mediante sensibilización y, si persiste, los mecanismos correspondientes.",6,46,356,
357,Paragraph,,"B minimiza el prejuicio como opinión inofensiva, cuando sí afecta a personas. C y D lo disfrazan de gestión o criterio técnico, pero se basa en un estereotipo. E pretende blindarlo como 'cultural', cuando la empresa sí debe corregir la discriminación.",6,46,357,
358,Paragraph,Exercise,Identifica la discriminación por origen étnico y aplica el criterio de competencias.,6,46,358,
359,Paragraph,Source,"DUDH, Art. 2 y 7; Convenios de la OIT sobre no discriminación (C111).",6,46,359,
360,Heading,Heading,"4.4 Seguimiento, auditoría y mejora continua",4,,360,
361,Asset,Feature Image,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_47_rendir_cuentas.png,4,47,361,ddhh_47_rendir_cuentas
362,Paragraph,,Comunicar y rendir cuentas con transparencia genera confianza y permite verificar la gestión.,4,47,362,
363,Multiple Choice Question,,,4,47,363,
364,Paragraph,,"El último paso del ciclo de debida diligencia es comunicar: dar cuenta, de forma transparente y comprensible, de cuáles son los impactos identificados y qué está haciendo la empresa para prevenirlos, mitigarlos o remediarlos. Rendir cuentas no es propaganda ni un sustituto de la acción: es mostrar con evidencia que la gestión existe y funciona, especialmente ante las personas afectadas. Para Minsur, comunicar sus avances y dificultades en Derechos Humanos —por ejemplo en reportes de sostenibilidad o en el diálogo con comunidades— construye confianza y permite que terceros verifiquen y aporten a la mejora. La transparencia es parte del respeto.",4,47,364,
365,Paragraph,,"B y C distorsionan el fin: comunicar no es marketing ni ocultamiento. D confunde informar con actuar: la comunicación acompaña, no reemplaza, las acciones. E reduce la rendición de cuentas a las utilidades para accionistas, omitiendo a las partes afectadas.",4,47,365,
366,Paragraph,Exercise,Reconoce el sentido de comunicar y rendir cuentas dentro de la debida diligencia.,4,47,366,
367,Paragraph,Source,"Principios Rectores de la ONU (2011), comunicación (Principio 21).",4,47,367,
